DATE_TIME,Motion
2019-05-30 09:15:00,3
2019-05-30 09:30:00,5
2019-05-30 09:45:00,8
2019-05-30 10:00:00,25
2019-05-30 10:15:00,46
2019-05-30 10:30:00,21
2019-05-30 10:45:00,17
2019-05-30 11:00:00,8
2019-05-30 11:15:00,20
2019-05-30 11:30:00,6
2019-05-30 11:45:00,18
2019-05-30 12:00:00,16
2019-05-30 12:15:00,34
2019-05-30 12:30:00,16
2019-05-30 12:45:00,21
2019-05-30 13:00:00,15
2019-05-30 13:15:00,18
2019-05-30 13:30:00,53
2019-05-30 13:45:00,19
2019-05-30 14:00:00,14
2019-05-30 14:15:00,12
2019-05-30 14:30:00,9
2019-05-30 14:45:00,23
2019-05-30 15:00:00,50
2019-05-30 15:15:00,41
2019-05-30 15:30:00,21
2019-05-30 15:45:00,18
2019-05-30 16:00:00,27
2019-05-30 16:15:00,21
2019-05-30 16:30:00,9
2019-05-30 16:45:00,12
2019-05-30 17:00:00,37
2019-05-30 17:15:00,81
2019-05-30 17:30:00,40
2019-05-30 17:45:00,21
2019-05-30 18:00:00,10
2019-05-30 18:15:00,20
2019-05-30 18:30:00,11
2019-05-30 18:45:00,11
2019-05-30 19:00:00,23
2019-05-30 19:15:00,14
2019-05-30 19:30:00,23
2019-05-30 19:45:00,1
2019-05-30 20:00:00,45
2019-05-30 20:15:00,18
2019-05-30 20:30:00,25
2019-05-30 20:45:00,12
2019-05-30 21:00:00,18
2019-05-30 21:15:00,19
2019-05-30 21:30:00,22
2019-05-30 21:45:00,29
2019-05-30 22:00:00,4
2019-05-30 22:15:00,136
2019-05-30 22:30:00,140
2019-05-30 22:45:00,123
2019-05-30 23:00:00,140
2019-05-30 23:15:00,138
2019-05-30 23:30:00,151
2019-05-30 23:45:00,65
2019-05-31 00:00:00,0
2019-05-31 00:15:00,0
2019-05-31 00:30:00,0
2019-05-31 00:45:00,0
2019-05-31 01:00:00,0
2019-05-31 01:15:00,0
2019-05-31 01:30:00,0
2019-05-31 01:45:00,0
2019-05-31 02:00:00,0
2019-05-31 02:15:00,0
2019-05-31 02:30:00,0
2019-05-31 02:45:00,0
2019-05-31 03:00:00,0
2019-05-31 03:15:00,0
2019-05-31 03:30:00,0
2019-05-31 03:45:00,0
2019-05-31 04:00:00,0
2019-05-31 04:15:00,0
2019-05-31 04:30:00,0
2019-05-31 04:45:00,0
2019-05-31 05:00:00,0
2019-05-31 05:15:00,0
2019-05-31 05:30:00,0
2019-05-31 05:45:00,0
2019-05-31 06:00:00,0
2019-05-31 06:15:00,0
2019-05-31 06:30:00,0
2019-05-31 06:45:00,0
2019-05-31 07:00:00,0
2019-05-31 07:15:00,0
2019-05-31 07:30:00,0
2019-05-31 07:45:00,0
2019-05-31 08:00:00,0
2019-05-31 08:15:00,0
2019-05-31 08:30:00,0
2019-05-31 08:45:00,0
2019-05-31 09:00:00,0
2019-05-31 09:15:00,0
2019-05-31 09:30:00,0
2019-05-31 09:45:00,0
2019-05-31 10:00:00,0
2019-05-31 10:15:00,0
2019-05-31 10:30:00,0
2019-05-31 10:45:00,0
2019-05-31 11:00:00,0
2019-05-31 11:15:00,0
2019-05-31 11:30:00,0
2019-05-31 11:45:00,0
2019-05-31 12:00:00,0
2019-05-31 12:15:00,0
2019-05-31 12:30:00,0
2019-05-31 12:45:00,0
2019-05-31 13:00:00,0
2019-05-31 13:15:00,0
2019-05-31 13:30:00,0
2019-05-31 13:45:00,0
2019-05-31 14:00:00,0
2019-05-31 14:15:00,0
2019-05-31 14:30:00,0
2019-05-31 14:45:00,0
2019-05-31 15:00:00,0
2019-05-31 15:15:00,0
2019-05-31 15:30:00,0
2019-05-31 15:45:00,0
2019-05-31 16:00:00,0
2019-05-31 16:15:00,0
2019-05-31 16:30:00,0
2019-05-31 16:45:00,0
2019-05-31 17:00:00,0
2019-05-31 17:15:00,0
2019-05-31 17:30:00,0
2019-05-31 17:45:00,0
2019-05-31 18:00:00,0
2019-05-31 18:15:00,0
2019-05-31 18:30:00,0
2019-05-31 18:45:00,0
2019-05-31 19:00:00,0
2019-05-31 19:15:00,0
2019-05-31 19:30:00,0
2019-05-31 19:45:00,0
2019-05-31 20:00:00,0
2019-05-31 20:15:00,0
2019-05-31 20:30:00,0
2019-05-31 20:45:00,0
2019-05-31 21:00:00,0
2019-05-31 21:15:00,0
2019-05-31 21:30:00,0
2019-05-31 21:45:00,0
2019-05-31 22:00:00,0
2019-05-31 22:15:00,0
2019-05-31 22:30:00,0
2019-05-31 22:45:00,0
2019-05-31 23:00:00,0
2019-05-31 23:15:00,0
2019-05-31 23:30:00,0
2019-05-31 23:45:00,0
2019-06-01 00:00:00,56
2019-06-01 00:15:00,125
2019-06-01 00:30:00,95
2019-06-01 00:45:00,72
2019-06-01 01:00:00,10
2019-06-01 01:15:00,100
2019-06-01 01:30:00,136
2019-06-01 01:45:00,143
2019-06-01 02:00:00,76
2019-06-01 02:15:00,44
2019-06-01 02:30:00,58
2019-06-01 02:45:00,21
2019-06-01 03:00:00,79
2019-06-01 03:15:00,29
2019-06-01 03:30:00,46
2019-06-01 03:45:00,33
2019-06-01 04:00:00,41
2019-06-01 04:15:00,9
2019-06-01 04:30:00,38
2019-06-01 04:45:00,26
2019-06-01 05:00:00,116
2019-06-01 05:15:00,57
2019-06-01 05:30:00,3
2019-06-01 05:45:00,24
2019-06-01 06:00:00,26
2019-06-01 06:15:00,33
2019-06-01 06:30:00,22
2019-06-01 06:45:00,33
2019-06-01 07:00:00,22
2019-06-01 07:15:00,34
2019-06-01 07:30:00,33
2019-06-01 07:45:00,15
2019-06-01 08:00:00,22
2019-06-01 08:15:00,94
2019-06-01 08:30:00,163
2019-06-01 08:45:00,162
2019-06-01 09:00:00,157
2019-06-01 09:15:00,90
2019-06-01 09:30:00,147
2019-06-01 09:45:00,44
2019-06-01 10:00:00,6
2019-06-01 10:15:00,43
2019-06-01 10:30:00,36
2019-06-01 10:45:00,93
2019-06-01 11:00:00,84
2019-06-01 11:15:00,90
2019-06-01 11:30:00,74
2019-06-01 11:45:00,121
2019-06-01 12:00:00,49
2019-06-01 12:15:00,88
2019-06-01 12:30:00,97
2019-06-01 12:45:00,109
2019-06-01 13:00:00,75
2019-06-01 13:15:00,82
2019-06-01 13:30:00,84
2019-06-01 13:45:00,70
2019-06-01 14:00:00,90
2019-06-01 14:15:00,137
2019-06-01 14:30:00,22
2019-06-01 14:45:00,80
2019-06-01 15:00:00,131
2019-06-01 15:15:00,102
2019-06-01 15:30:00,56
2019-06-01 15:45:00,59
2019-06-01 16:00:00,22
2019-06-01 16:15:00,98
2019-06-01 16:30:00,56
2019-06-01 16:45:00,64
2019-06-01 17:00:00,73
2019-06-01 17:15:00,50
2019-06-01 17:30:00,63
2019-06-01 17:45:00,78
2019-06-01 18:00:00,0
2019-06-01 18:15:00,23
2019-06-01 18:30:00,58
2019-06-01 18:45:00,47
2019-06-01 19:00:00,13
2019-06-01 19:15:00,14
2019-06-01 19:30:00,39
2019-06-01 19:45:00,85
2019-06-01 20:00:00,82
2019-06-01 20:15:00,39
2019-06-01 20:30:00,24
2019-06-01 20:45:00,17
2019-06-01 21:00:00,25
2019-06-01 21:15:00,44
2019-06-01 21:30:00,5
2019-06-01 21:45:00,39
2019-06-01 22:00:00,94
2019-06-01 22:15:00,46
2019-06-01 22:30:00,33
2019-06-01 22:45:00,21
2019-06-01 23:00:00,40
2019-06-01 23:15:00,1
2019-06-01 23:30:00,0
2019-06-01 23:45:00,0
2019-06-02 00:00:00,0
2019-06-02 00:15:00,0
2019-06-02 00:30:00,0
2019-06-02 00:45:00,2
2019-06-02 01:00:00,0
2019-06-02 01:15:00,0
2019-06-02 01:30:00,1
2019-06-02 01:45:00,0
2019-06-02 02:00:00,0
2019-06-02 02:15:00,3
2019-06-02 02:30:00,3
2019-06-02 02:45:00,105
2019-06-02 03:00:00,138
2019-06-02 03:15:00,71
2019-06-02 03:30:00,17
2019-06-02 03:45:00,83
2019-06-02 04:00:00,162
2019-06-02 04:15:00,103
2019-06-02 04:30:00,5
2019-06-02 04:45:00,14
2019-06-02 05:00:00,24
2019-06-02 05:15:00,51
2019-06-02 05:30:00,59
2019-06-02 05:45:00,29
2019-06-02 06:00:00,26
2019-06-02 06:15:00,64
2019-06-02 06:30:00,104
2019-06-02 06:45:00,16
2019-06-02 07:00:00,95
2019-06-02 07:15:00,165
2019-06-02 07:30:00,90
2019-06-02 07:45:00,86
2019-06-02 08:00:00,42
2019-06-02 08:15:00,29
2019-06-02 08:30:00,131
2019-06-02 08:45:00,157
2019-06-02 09:00:00,154
2019-06-02 09:15:00,167
2019-06-02 09:30:00,38
2019-06-02 09:45:00,49
2019-06-02 10:00:00,61
2019-06-02 10:15:00,79
2019-06-02 10:30:00,14
2019-06-02 10:45:00,0
2019-06-02 11:00:00,0
2019-06-02 11:15:00,85
2019-06-02 11:30:00,117
2019-06-02 11:45:00,35
2019-06-02 12:00:00,23
2019-06-02 12:15:00,15
2019-06-02 12:30:00,95
2019-06-02 12:45:00,23
2019-06-02 13:00:00,40
2019-06-02 13:15:00,20
2019-06-02 13:30:00,123
2019-06-02 13:45:00,119
2019-06-02 14:00:00,136
2019-06-02 14:15:00,171
2019-06-02 14:30:00,162
2019-06-02 14:45:00,24
2019-06-02 15:00:00,0
2019-06-02 15:15:00,14
2019-06-02 15:30:00,8
2019-06-02 15:45:00,3
2019-06-02 16:00:00,45
2019-06-02 16:15:00,77
2019-06-02 16:30:00,65
2019-06-02 16:45:00,86
2019-06-02 17:00:00,44
2019-06-02 17:15:00,18
2019-06-02 17:30:00,22
2019-06-02 17:45:00,20
2019-06-02 18:00:00,16
2019-06-02 18:15:00,14
2019-06-02 18:30:00,13
2019-06-02 18:45:00,32
2019-06-02 19:00:00,29
2019-06-02 19:15:00,23
2019-06-02 19:30:00,24
2019-06-02 19:45:00,4
2019-06-02 20:00:00,58
2019-06-02 20:15:00,23
2019-06-02 20:30:00,15
2019-06-02 20:45:00,36
2019-06-02 21:00:00,25
2019-06-02 21:15:00,13
2019-06-02 21:30:00,13
2019-06-02 21:45:00,11
2019-06-02 22:00:00,13
2019-06-02 22:15:00,0
2019-06-02 22:30:00,0
2019-06-02 22:45:00,0
2019-06-02 23:00:00,2
2019-06-02 23:15:00,0
2019-06-02 23:30:00,0
2019-06-02 23:45:00,0
2019-06-03 00:00:00,1
2019-06-03 00:15:00,1
2019-06-03 00:30:00,0
2019-06-03 00:45:00,1
2019-06-03 01:00:00,0
2019-06-03 01:15:00,2
2019-06-03 01:30:00,0
2019-06-03 01:45:00,0
2019-06-03 02:00:00,0
2019-06-03 02:15:00,2
2019-06-03 02:30:00,0
2019-06-03 02:45:00,2
2019-06-03 03:00:00,1
2019-06-03 03:15:00,0
2019-06-03 03:30:00,0
2019-06-03 03:45:00,1
2019-06-03 04:00:00,0
2019-06-03 04:15:00,9
2019-06-03 04:30:00,0
2019-06-03 04:45:00,0
2019-06-03 05:00:00,2
2019-06-03 05:15:00,0
2019-06-03 05:30:00,0
2019-06-03 05:45:00,1
2019-06-03 06:00:00,0
2019-06-03 06:15:00,28
2019-06-03 06:30:00,9
2019-06-03 06:45:00,8
2019-06-03 07:00:00,0
2019-06-03 07:15:00,44
2019-06-03 07:30:00,0
2019-06-03 07:45:00,0
2019-06-03 08:00:00,0
2019-06-03 08:15:00,0
2019-06-03 08:30:00,0
2019-06-03 08:45:00,0
2019-06-03 09:00:00,0
2019-06-03 09:15:00,0
2019-06-03 09:30:00,0
2019-06-03 09:45:00,0
2019-06-03 10:00:00,0
2019-06-03 10:15:00,0
2019-06-03 10:30:00,0
2019-06-03 10:45:00,0
2019-06-03 11:00:00,0
2019-06-03 11:15:00,0
2019-06-03 11:30:00,0
2019-06-03 11:45:00,0
2019-06-03 12:00:00,0
2019-06-03 12:15:00,0
2019-06-03 12:30:00,0
2019-06-03 12:45:00,0
2019-06-03 13:00:00,0
2019-06-03 13:15:00,0
2019-06-03 13:30:00,0
2019-06-03 13:45:00,0
2019-06-03 14:00:00,0
2019-06-03 14:15:00,0
2019-06-03 14:30:00,0
2019-06-03 14:45:00,0
2019-06-03 15:00:00,0
2019-06-03 15:15:00,0
2019-06-03 15:30:00,0
2019-06-03 15:45:00,0
2019-06-03 16:00:00,0
2019-06-03 16:15:00,0
2019-06-03 16:30:00,0
2019-06-03 16:45:00,1
2019-06-03 17:00:00,39
2019-06-03 17:15:00,19
2019-06-03 17:30:00,35
2019-06-03 17:45:00,56
2019-06-03 18:00:00,3
2019-06-03 18:15:00,39
2019-06-03 18:30:00,43
2019-06-03 18:45:00,23
2019-06-03 19:00:00,5
2019-06-03 19:15:00,13
2019-06-03 19:30:00,8
2019-06-03 19:45:00,10
2019-06-03 20:00:00,11
2019-06-03 20:15:00,10
2019-06-03 20:30:00,16
2019-06-03 20:45:00,11
2019-06-03 21:00:00,54
2019-06-03 21:15:00,21
2019-06-03 21:30:00,41
2019-06-03 21:45:00,24
2019-06-03 22:00:00,37
2019-06-03 22:15:00,17
2019-06-03 22:30:00,23
2019-06-03 22:45:00,51
2019-06-03 23:00:00,29
2019-06-03 23:15:00,11
2019-06-03 23:30:00,23
2019-06-03 23:45:00,0
2019-06-04 00:00:00,0
2019-06-04 00:15:00,0
2019-06-04 00:30:00,0
2019-06-04 00:45:00,0
2019-06-04 01:00:00,0
2019-06-04 01:15:00,2
2019-06-04 01:30:00,0
2019-06-04 01:45:00,0
2019-06-04 02:00:00,0
2019-06-04 02:15:00,1
2019-06-04 02:30:00,0
2019-06-04 02:45:00,0
2019-06-04 03:00:00,0
2019-06-04 03:15:00,0
2019-06-04 03:30:00,0
2019-06-04 03:45:00,1
2019-06-04 04:00:00,1
2019-06-04 04:15:00,3
2019-06-04 04:30:00,1
2019-06-04 04:45:00,0
2019-06-04 05:00:00,8
2019-06-04 05:15:00,1
2019-06-04 05:30:00,4
2019-06-04 05:45:00,19
2019-06-04 06:00:00,29
2019-06-04 06:15:00,9
2019-06-04 06:30:00,61
2019-06-04 06:45:00,10
2019-06-04 07:00:00,69
2019-06-04 07:15:00,1
2019-06-04 07:30:00,0
2019-06-04 07:45:00,0
2019-06-04 08:00:00,0
2019-06-04 08:15:00,0
2019-06-04 08:30:00,0
2019-06-04 08:45:00,0
2019-06-04 09:00:00,0
2019-06-04 09:15:00,0
2019-06-04 09:30:00,0
2019-06-04 09:45:00,0
2019-06-04 10:00:00,0
2019-06-04 10:15:00,0
2019-06-04 10:30:00,0
2019-06-04 10:45:00,0
2019-06-04 11:00:00,0
2019-06-04 11:15:00,0
2019-06-04 11:30:00,0
2019-06-04 11:45:00,0
2019-06-04 12:00:00,0
2019-06-04 12:15:00,0
2019-06-04 12:30:00,0
2019-06-04 12:45:00,0
2019-06-04 13:00:00,0
2019-06-04 13:15:00,0
2019-06-04 13:30:00,0
2019-06-04 13:45:00,0
2019-06-04 14:00:00,0
2019-06-04 14:15:00,0
2019-06-04 14:30:00,0
2019-06-04 14:45:00,0
2019-06-04 15:00:00,0
2019-06-04 15:15:00,0
2019-06-04 15:30:00,0
2019-06-04 15:45:00,0
2019-06-04 16:00:00,0
2019-06-04 16:15:00,0
2019-06-04 16:30:00,0
2019-06-04 16:45:00,0
2019-06-04 17:00:00,0
2019-06-04 17:15:00,0
2019-06-04 17:30:00,0
2019-06-04 17:45:00,0
2019-06-04 18:00:00,26
2019-06-04 18:15:00,60
2019-06-04 18:30:00,21
2019-06-04 18:45:00,3
2019-06-04 19:00:00,8
2019-06-04 19:15:00,6
2019-06-04 19:30:00,12
2019-06-04 19:45:00,0
2019-06-04 20:00:00,16
2019-06-04 20:15:00,8
2019-06-04 20:30:00,9
2019-06-04 20:45:00,48
2019-06-04 21:00:00,67
2019-06-04 21:15:00,13
2019-06-04 21:30:00,25
2019-06-04 21:45:00,28
2019-06-04 22:00:00,7
2019-06-04 22:15:00,25
2019-06-04 22:30:00,8
2019-06-04 22:45:00,17
2019-06-04 23:00:00,13
2019-06-04 23:15:00,26
2019-06-04 23:30:00,11
2019-06-04 23:45:00,11
2019-06-05 00:00:00,16
2019-06-05 00:15:00,28
2019-06-05 00:30:00,21
2019-06-05 00:45:00,14
2019-06-05 01:00:00,2
2019-06-05 01:15:00,0
2019-06-05 01:30:00,0
2019-06-05 01:45:00,2
2019-06-05 02:00:00,0
2019-06-05 02:15:00,1
2019-06-05 02:30:00,0
2019-06-05 02:45:00,2
2019-06-05 03:00:00,0
2019-06-05 03:15:00,4
2019-06-05 03:30:00,6
2019-06-05 03:45:00,0
2019-06-05 04:00:00,1
2019-06-05 04:15:00,1
2019-06-05 04:30:00,0
2019-06-05 04:45:00,4
2019-06-05 05:00:00,13
2019-06-05 05:15:00,4
2019-06-05 05:30:00,8
2019-06-05 05:45:00,1
2019-06-05 06:00:00,21
2019-06-05 06:15:00,52
2019-06-05 06:30:00,14
2019-06-05 06:45:00,22
2019-06-05 07:00:00,56
2019-06-05 07:15:00,40
2019-06-05 07:30:00,0
2019-06-05 07:45:00,0
2019-06-05 08:00:00,0
2019-06-05 08:15:00,0
2019-06-05 08:30:00,0
2019-06-05 08:45:00,0
2019-06-05 09:00:00,0
2019-06-05 09:15:00,0
2019-06-05 09:30:00,0
2019-06-05 09:45:00,0
2019-06-05 10:00:00,0
2019-06-05 10:15:00,0
2019-06-05 10:30:00,0
2019-06-05 10:45:00,0
2019-06-05 11:00:00,0
2019-06-05 11:15:00,0
2019-06-05 11:30:00,0
2019-06-05 11:45:00,0
2019-06-05 12:00:00,0
2019-06-05 12:15:00,0
2019-06-05 12:30:00,0
2019-06-05 12:45:00,0
2019-06-05 13:00:00,0
2019-06-05 13:15:00,0
2019-06-05 13:30:00,0
2019-06-05 13:45:00,0
2019-06-05 14:00:00,0
2019-06-05 14:15:00,0
2019-06-05 14:30:00,0
2019-06-05 14:45:00,0
2019-06-05 15:00:00,0
2019-06-05 15:15:00,0
2019-06-05 15:30:00,0
2019-06-05 15:45:00,0
2019-06-05 16:00:00,0
2019-06-05 16:15:00,0
2019-06-05 16:30:00,33
2019-06-05 16:45:00,60
2019-06-05 17:00:00,3
2019-06-05 17:15:00,8
2019-06-05 17:30:00,9
2019-06-05 17:45:00,56
2019-06-05 18:00:00,29
2019-06-05 18:15:00,14
2019-06-05 18:30:00,8
2019-06-05 18:45:00,24
2019-06-05 19:00:00,19
2019-06-05 19:15:00,33
2019-06-05 19:30:00,12
2019-06-05 19:45:00,20
2019-06-05 20:00:00,15
2019-06-05 20:15:00,54
2019-06-05 20:30:00,15
2019-06-05 20:45:00,1
2019-06-05 21:00:00,32
2019-06-05 21:15:00,24
2019-06-05 21:30:00,32
2019-06-05 21:45:00,26
2019-06-05 22:00:00,0
2019-06-05 22:15:00,0
2019-06-05 22:30:00,1
2019-06-05 22:45:00,1
2019-06-05 23:00:00,0
2019-06-05 23:15:00,0
2019-06-05 23:30:00,0
2019-06-05 23:45:00,2
2019-06-06 00:00:00,0
2019-06-06 00:15:00,2
2019-06-06 00:30:00,2
2019-06-06 00:45:00,3
2019-06-06 01:00:00,1
2019-06-06 01:15:00,0
2019-06-06 01:30:00,0
2019-06-06 01:45:00,0
2019-06-06 02:00:00,2
2019-06-06 02:15:00,1
2019-06-06 02:30:00,0
2019-06-06 02:45:00,0
2019-06-06 03:00:00,0
2019-06-06 03:15:00,3
2019-06-06 03:30:00,0
2019-06-06 03:45:00,3
2019-06-06 04:00:00,3
2019-06-06 04:15:00,0
2019-06-06 04:30:00,1
2019-06-06 04:45:00,1
2019-06-06 05:00:00,0
2019-06-06 05:15:00,5
2019-06-06 05:30:00,0
2019-06-06 05:45:00,4
2019-06-06 06:00:00,8
2019-06-06 06:15:00,1
2019-06-06 06:30:00,6
2019-06-06 06:45:00,2
2019-06-06 07:00:00,9
2019-06-06 07:15:00,19
2019-06-06 07:30:00,13
2019-06-06 07:45:00,30
2019-06-06 08:00:00,49
2019-06-06 08:15:00,26
2019-06-06 08:30:00,31
2019-06-06 08:45:00,66
2019-06-06 09:00:00,37
2019-06-06 09:15:00,10
2019-06-06 09:30:00,21
2019-06-06 09:45:00,10
2019-06-06 10:00:00,5
2019-06-06 10:15:00,10
2019-06-06 10:30:00,17
2019-06-06 10:45:00,21
2019-06-06 11:00:00,23
2019-06-06 11:15:00,11
2019-06-06 11:30:00,9
2019-06-06 11:45:00,3
2019-06-06 12:00:00,3
2019-06-06 12:15:00,0
2019-06-06 12:30:00,17
2019-06-06 12:45:00,23
2019-06-06 13:00:00,28
2019-06-06 13:15:00,22
2019-06-06 13:30:00,16
2019-06-06 13:45:00,24
2019-06-06 14:00:00,40
2019-06-06 14:15:00,87
2019-06-06 14:30:00,98
2019-06-06 14:45:00,120
2019-06-06 15:00:00,35
2019-06-06 15:15:00,34
2019-06-06 15:30:00,16
2019-06-06 15:45:00,11
2019-06-06 16:00:00,22
2019-06-06 16:15:00,17
2019-06-06 16:30:00,23
2019-06-06 16:45:00,24
2019-06-06 17:00:00,18
2019-06-06 17:15:00,14
2019-06-06 17:30:00,26
2019-06-06 17:45:00,14
2019-06-06 18:00:00,19
2019-06-06 18:15:00,17
2019-06-06 18:30:00,48
2019-06-06 18:45:00,23
2019-06-06 19:00:00,22
2019-06-06 19:15:00,26
2019-06-06 19:30:00,15
2019-06-06 19:45:00,7
2019-06-06 20:00:00,7
2019-06-06 20:15:00,17
2019-06-06 20:30:00,18
2019-06-06 20:45:00,9
2019-06-06 21:00:00,27
2019-06-06 21:15:00,22
2019-06-06 21:30:00,29
2019-06-06 21:45:00,9
2019-06-06 22:00:00,5
2019-06-06 22:15:00,13
2019-06-06 22:30:00,10
2019-06-06 22:45:00,17
2019-06-06 23:00:00,12
2019-06-06 23:15:00,14
2019-06-06 23:30:00,12
2019-06-06 23:45:00,0
2019-06-07 00:00:00,13
2019-06-07 00:15:00,20
2019-06-07 00:30:00,17
2019-06-07 00:45:00,26
2019-06-07 01:00:00,25
2019-06-07 01:15:00,27
2019-06-07 01:30:00,2
2019-06-07 01:45:00,0
2019-06-07 02:00:00,0
2019-06-07 02:15:00,2
2019-06-07 02:30:00,0
2019-06-07 02:45:00,3
2019-06-07 03:00:00,0
2019-06-07 03:15:00,0
2019-06-07 03:30:00,0
2019-06-07 03:45:00,2
2019-06-07 04:00:00,0
2019-06-07 04:15:00,0
2019-06-07 04:30:00,0
2019-06-07 04:45:00,0
2019-06-07 05:00:00,0
2019-06-07 05:15:00,3
2019-06-07 05:30:00,0
2019-06-07 05:45:00,2
2019-06-07 06:00:00,3
2019-06-07 06:15:00,7
2019-06-07 06:30:00,2
2019-06-07 06:45:00,2
2019-06-07 07:00:00,20
2019-06-07 07:15:00,18
2019-06-07 07:30:00,7
2019-06-07 07:45:00,0
2019-06-07 08:00:00,0
2019-06-07 08:15:00,0
2019-06-07 08:30:00,0
2019-06-07 08:45:00,0
2019-06-07 09:00:00,0
2019-06-07 09:15:00,0
2019-06-07 09:30:00,0
2019-06-07 09:45:00,0
2019-06-07 10:00:00,0
2019-06-07 10:15:00,6
2019-06-07 10:30:00,9
2019-06-07 10:45:00,6
